question_id,question,ground_truth,generated_answer,latency_seconds,score,reasoning
36,Sinh viên bị nhà trường kỷ luật khiển trách vì tội đánh bạc lần 1 trong học kỳ đó thì có được tham gia xét học bổng khuyến khích học tập không?,Không được. Một trong các điều kiện bắt buộc để được xét học bổng là sinh viên không bị kỷ luật từ mức khiển trách trở lên trong học kỳ xét học bổng.,"Không. Theo quy định, sinh viên **bị kỷ luật từ mức khiển trách trở lên trong học kỳ** sẽ không được xét học bổng khuyến khích học tập. Vì sinh viên đã bị kỷ luật khiển trách vì tội đánh bạc lần 1, nên không đủ điều kiện tham gia xét học bổng trong học kỳ đó.",1.93,10.0,Câu trả lời của AI truyền đạt đúng ý chính và thông tin chuẩn: sinh viên bị kỷ luật khiển trách trong học kỳ sẽ không đủ điều kiện xét học bổng khuyến khích học tập. Nội dung không thiếu chi tiết quan trọng và không có sai sót.
37,Lệ phí làm bằng tốt nghiệp 120.000 đồng được yêu cầu nộp vào tài khoản ngân hàng nào của trường?,Tài khoản số 3141757777 tại ngân hàng BIDV - chi nhánh Đông Sài Gòn.,Tài khoản ngân hàng của Trường Đại học Sư phạm Kỹ thuật TP.HCM: **Số 3141757777 tại ngân hàng BIDV – chi nhánh Đông Sài Gòn**.,1.1,10.0,"Câu trả lời của AI truyền đạt đúng và đầy đủ thông tin yêu cầu: số tài khoản 3141757777, ngân hàng BIDV, chi nhánh Đông Sài Gòn, không có sai sót hay thiếu chi tiết."
38,Học phần Kinh tế chính trị Mác-Lênin (LLCT120205) có môn tiên quyết là gì?,Triết học Mác-Lênin (Mã: LLCT130105).,"Theo **Nguồn #1**: môn học “Kinh tế chính trị Mác‑Lênin” (LLCT120205) có **điều kiện tiên quyết là “Triết học Mác‑Lênin”**.  

Tuy nhiên, **Nguồn #2** và **Nguồn #3** lại ghi **không có môn tiên quyết**.  

Vì vậy, tài liệu có ghi “Triết học Mác‑Lênin” là môn tiên quyết, trong khi các nguồn khác cho rằng không có môn tiên quyết.",4.36,7.0,"Câu trả lời đưa ra đáp án đúng là ""Triết học Mác‑Lênin"" – đáp ứng yêu cầu chính. Tuy nhiên, AI lại thêm thông tin mâu thuẫn rằng có nguồn khác cho rằng không có môn tiên quyết, gây nhầm lẫn và không cần thiết cho câu hỏi. Vì có phần thông tin không chính xác/không liên quan, nên điểm nằm trong khoảng 4‑7."
39,Sinh viên người dân tộc Pà Thẻn ở vùng kinh tế đặc biệt khó khăn sẽ được hưởng chính sách gì về học phí?,Được Miễn học phí.,Sinh viên người dân tộc Pà Thẻn đang học ở vùng kinh tế đặc biệt khó khăn được **miễn học phí** (theo Điều 15 Nghị định 238/2025/NĐ‑CP).,1.97,10.0,"Câu trả lời của AI truyền đạt đúng ý chính và thông tin chuẩn: sinh viên người dân tộc Pà Thẻn ở vùng kinh tế đặc biệt khó khăn được miễn học phí. Ngoài ra, AI còn cung cấp thêm chi tiết tham chiếu pháp lý (Điều 15 Nghị định 238/2025/NĐ‑CP), không làm sai lệch nội dung. Vì đáp ứng đầy đủ và chính xác, nên cho điểm tối đa."
40,Sinh viên tham gia biểu diễn văn nghệ trong hội thi cấp trường sẽ được cộng bao nhiêu điểm công tác xã hội?,Được cộng từ 0.5 đến 1 ngày công tác xã hội.,Sinh viên tham gia biểu diễn văn nghệ trong hội thi cấp trường sẽ được cộng **5 điểm** công tác xã hội.,1.91,1.0,"Câu trả lời của AI hoàn toàn sai so với chuẩn. Chuẩn yêu cầu cộng từ 0.5 đến 1 ngày công tác xã hội, trong khi AI đưa ra con số 5 điểm, không liên quan và không đúng."
41,"Em đang học hệ Đại trà, muốn đăng ký học 1 môn tự chọn cùng với lớp Chất lượng cao (CLC) tiếng Việt được không?","Không được phép đăng ký trực tiếp. Hệ Đại trà không được học chung với hệ CLC và ngược lại. Nếu là trường hợp đặc biệt, em phải làm đơn và được sự đồng ý của Ban Chủ nhiệm Khoa quản ngành và Phòng Đào tạo.","Không được. Theo quy định, sinh viên hệ CLC không được đăng ký học với các lớp Đại trà (và ngược lại), vì vậy bạn không thể đăng ký môn tự chọn cùng lớp CLC tiếng Việt.",6.56,6.0,"Câu trả lời đúng phần lớn về việc không được đăng ký trực tiếp và nêu quy định hệ CLC không học chung với hệ Đại trà, nhưng thiếu thông tin quan trọng về trường hợp đặc biệt: cần làm đơn và được sự đồng ý của Ban Chủ nhiệm Khoa quản ngành và Phòng Đào tạo. Do thiếu chi tiết này, điểm nằm trong khoảng 4‑7."
42,"Lịch thi môn Sức bền vật liệu là 13h, em đến phòng thi lúc 13h15 và không được giám thị cho thi. Việc bị cấm thi này làm em bị trừ bao nhiêu điểm rèn luyện?",Sinh viên bị cấm thi sẽ bị trừ 5 điểm rèn luyện/môn.,"Việc đến phòng thi trễ và bị từ chối thi được xem là **vi phạm quy chế kiểm tra, thi học kỳ** và được xử lý “khiển trách tại phòng thi”. Theo bảng điểm rèn luyện (Nguồn #5), “khiển trách tại phòng thi” bị trừ **2 điểm rèn luyện** (một lần).",13.39,2.0,"Câu trả lời của AI không khớp với chuẩn. Theo chuẩn, bị cấm thi sẽ bị trừ 5 điểm rèn luyện, trong khi AI cho rằng chỉ bị trừ 2 điểm. Do đó thông tin quan trọng (số điểm trừ) sai hoàn toàn, chỉ còn phần mô tả chung về vi phạm, nên điểm thấp (1‑3)."
43,"Đang thi cuối kì môn Lý thuyết đồ thị thì em bị đau ruột thừa phải nhập viện gấp, em phải làm thủ tục gì để không bị 0 điểm môn đó?","Bạn cần làm thủ tục xin nhận điểm I (hoãn thi). Quy trình là nộp đơn trực tuyến (online) kèm file scan giấy tờ xác nhận của cơ quan y tế (bệnh viện). Nếu Khoa và phòng Đào tạo duyệt, bạn sẽ được thi lại môn đó trong 2 học kỳ tới.","Bạn cần thực hiện thủ tục **đơn xin nhận điểm I** cho môn Lý thuyết đồ thị vì không tham gia kỳ thi do ốm. Cụ thể:

1. **Lập đơn** xin nghỉ thi (đơn xin nhận điểm I) và đính kèm **giấy chứng nhận y tế** (bệnh án, giấy nhập viện) chứng minh bạn đã bị đau ruột thừa và phải nhập viện.  
2. **Nộp đơn** cho **các giảng viên/khoa** phụ trách môn học để họ xem xét và ký xác nhận.  
3. Sau khi khoa xác nhận, **gửi lại** đơn và giấy tờ y tế cho **Phòng Đào tạo** (hoặc Phòng Hợp tác và Phát triển Đào tạo) để hoàn tất thủ tục và ghi nhận điểm I thay cho 0 điểm.  

Nếu làm đúng quy trình trên, bạn sẽ không bị tính 0 điểm mà sẽ được ghi điểm I và có cơ hội thi lại hoặc cải thiện điểm sau này.",2.35,6.0,"Câu trả lời của AI nêu đúng bước chung: làm đơn xin nhận điểm I, đính kèm giấy chứng nhận y tế và nộp cho khoa và phòng Đào tạo. Tuy nhiên, nó không đề cập đến việc nộp đơn trực tuyến (online) và không nhắc tới thời hạn 2 học kỳ để thi lại, là những chi tiết quan trọng trong quy trình chuẩn. Vì thiếu những thông tin này nên chỉ được điểm trung bình trong khoảng 4‑7."
44,Nộp báo cáo khóa luận bị thầy check Turnitin ra phát hiện đạo văn lần 1 thì em bị phạt gì?,Giảng viên hướng dẫn sẽ yêu cầu bạn phải chỉnh sửa lại toàn bộ nội dung sản phẩm học thuật vi phạm theo mốc thời gian do giảng viên quy định để kịp báo cáo đúng hạn.,"Theo quy định (Nguồn #1, mục a), khi lần đầu tiên phát hiện đạo văn **trước ngày báo cáo/bảo vệ/ nghiệm thu**, giảng viên hướng dẫn chỉ yêu cầu sinh viên **chỉnh sửa lại nội dung** sản phẩm học thuật và nộp lại trong thời gian mà giảng viên quy định để kịp đưa vào danh sách báo cáo, bảo vệ, nghiệm thu.  

Vì vậy, ở lần phát hiện thứ 1 bạn không bị kỷ luật hay đình chỉ; chỉ cần **sửa chữa và nộp lại** đúng hạn.",2.05,9.0,"Câu trả lời của AI truyền đạt đúng ý chính của chuẩn: giảng viên sẽ yêu cầu chỉnh sửa lại toàn bộ nội dung vi phạm và nộp lại trong thời hạn quy định, không có hình phạt kỷ luật. Ngoài ra AI còn bổ sung thông tin rằng sinh viên không bị kỷ luật hay đình chỉ, điều này không sai và giúp làm rõ hơn. Vì đáp án đầy đủ, chính xác và không thiếu chi tiết quan trọng nên xếp 9 điểm."
45,"Em rớt môn Thực tập xưởng (mã A), giờ trường không mở môn này nữa mà mở môn Thực tập cơ bản (mã B) nội dung tương đương. Em muốn học môn B thay cho môn A thì quy trình thế nào?","Bạn cần xin tư vấn và xin phép sự đồng ý của Khoa, sau đó nộp đơn xin thay thế môn học trực tuyến trên trang online của trường (mục Đăng ký các mẫu đơn) trong thời hạn quy định của đợt đăng ký.","**Quy trình đăng ký môn học thay thế (đối với trường hợp “Thực tập xưởng” → “Thực tập cơ bản”)**

1. **Đăng nhập** vào hệ thống online của Trường:  
   <https://online.hcmute.edu.vn>  

2. Vào **CHỨC NĂNG TRỰC TUYẾN → Đăng ký các mẫu đơn** → chọn mẫu **“Đăng ký môn học thay thế”**.

3. **Chọn thông tin đăng ký**  
   - Năm học: **2025‑2026** (hoặc năm học hiện hành nếu có thông báo khác).  
   - Học kỳ: **Học kỳ I**.  
   - Loại đăng ký: **Thay thế**.  
   - Đợt đăng ký: **ĐXTTMH HKI T08/2025 (11/08/2025 – 23/08/2025)** (hoặc đợt tương tự được công bố).

4. **Nhập lý do** (chọn loại lý do phù hợp, ví dụ “đăng ký sai mã môn” hoặc “thay đổi mã môn học”).

5. **Chọn môn cần thay thế**  
   - **Môn trong chương trình**: nhập và chọn **“Thực tập xưởng” (mã A)**.  

6. **Chọn môn thay thế**  
   - **Môn ngoài chương trình** (nếu môn B không nằm trong chương trình hiện tại) hoặc **Môn trong chương trình** (nếu đã được đưa vào chương trình).  
   - Nhập và chọn **“Thực tập cơ bản” (mã B)**.  
   - Nếu muốn thay thế bằng **2 môn** thì đánh dấu 2 mã môn tương ứng (trong trường hợp này chỉ cần 1 môn B).

7. **Lưu** thông tin. Hệ thống sẽ hiển thị xác nhận (ví dụ “Kiểm tra các học phần đã chọn và xem trạng thái xử lý”).

8. **Kiểm tra trạng thái**: sau khi lưu, vào mục **Thao tác** → **Môn ngoài chương trình** để xem trạng thái duyệt hoặc sửa lại nếu cần.

9. **Chờ phê duyệt** của phòng Đào tạo/Khoa. Khi được chấp nhận, môn B sẽ được tính thay cho môn A trong hồ sơ học tập.

> **Lưu ý:** Môn “Thực tập cơ bản” được xem là **học phần tương đương** (theo quy chế đào tạo: “học phần tương đương là học phần… được phép tích lũy để thay cho học phần… trong chương trình đào tạo khác”). Vì vậy việc đăng ký thay thế qua mẫu đơn trên là hợp lệ.  

Nếu thời gian đăng ký đã qua, sinh viên cần liên hệ trực tiếp với phòng Đào tạo để được hướng dẫn đăng ký bổ sung.",10.14,9.0,"Câu trả lời của AI truyền đạt đầy đủ ý chính của chuẩn: cần xin ý kiến và sự đồng ý của Khoa, sau đó nộp đơn thay thế môn học trực tuyến trên trang online của trường trong thời hạn quy định. Ngoài ra AI còn cung cấp chi tiết cụ thể về các bước thực hiện trên hệ thống, giúp người hỏi hiểu rõ quy trình. Không có thông tin sai hoặc thiếu quan trọng, chỉ bổ sung chi tiết, vì vậy xếp 9 điểm."
46,Em mới trúng tuyển Khóa 2025 ngành Công nghệ thông tin hệ Đại trà tiếng Việt. Vậy em đóng học phí năm học 2025-2026 tổng cộng bao nhiêu cho học kỳ 1?,18.000.000 đồng.,Em sẽ đóng **13.000.000 đồng** cho học kỳ 1 của năm học 2025‑2026.,2.72,2.0,"Câu trả lời của AI không khớp với chuẩn. Ground Truth là 18.000.000 đồng, trong khi AI đưa ra con số 13.000.000 đồng, sai hoàn toàn về mức học phí. Do đó điểm nằm trong khoảng 1‑3."
47,"Dạo này em hay mệt mỏi, stress và thường xuyên có ý nghĩ 'giá như tôi chết đi', nhà trường có đội ngũ tư vấn viên tâm lý nào em có thể liên hệ để chia sẻ không?","Có. Nhà trường có đội ngũ tư vấn viên tâm lý học đường để hỗ trợ sinh viên. Điển hình, bạn có thể liên hệ Cô Phạm Thị Thu Sương (Phụ trách ban tư vấn) qua email suongptt@hcmute.edu.vn hoặc điện thoại 0907008588.","Theo tài liệu, sinh viên có thể liên hệ **Văn phòng Tư vấn và Hỗ trợ Sinh viên** để được chia sẻ và hỗ trợ tâm lý. Văn phòng này nằm ở **phòng A212 – Khu A** của trường. Ngoài ra, trường cũng có **đội ngũ Tư vấn viên Sinh viên năm học 2025‑2026** (được liệt kê trong “Danh sách Đội ngũ Tư vấn sinh viên 2025‑2026”), bạn có thể hỏi phòng A212 để nhận danh sách chi tiết và cách liên hệ. 

Nếu cảm thấy nguy hiểm đến tính mạng hoặc có ý nghĩ tự tử, hãy gọi ngay số điện thoại khẩn cấp hoặc đến bệnh viện gần nhất để được hỗ trợ kịp thời.",1.53,5.0,"Câu trả lời của AI cung cấp thông tin chung về Văn phòng Tư vấn và Hỗ trợ Sinh viên và địa điểm, cũng như lời khuyên khẩn cấp, nhưng không đưa ra chi tiết cụ thể như tên, email và số điện thoại của Cô Phạm Thị Thu Sương mà chuẩn đáp yêu cầu. Do thiếu thông tin quan trọng nên chỉ đạt mức trung bình."
48,"Sinh viên năm 3 đang học 2 bằng, điểm Tích lũy bằng 1 rớt xuống 1.5 (bị loại Yếu) thì có được học bằng 2 tiếp không?",Không. Nếu Điểm trung bình tích lũy của chương trình thứ nhất đạt dưới trung bình (hoặc thuộc diện cảnh báo học tập) thì sinh viên bắt buộc phải dừng học chương trình thứ hai ở học kỳ tiếp theo và bị loại khỏi danh sách.,"Không được. Theo quy chế, nếu ĐTBTL của chương trình thứ nhất giảm xuống dưới điểm trung bình (hoặc thuộc diện cảnh báo), sinh viên phải dừng học chương trình thứ hai ở học kỳ tiếp theo và sẽ bị loại khỏi danh sách đăng ký học chương trình thứ hai. Vì điểm Tích lũy của chương trình thứ nhất hiện tại là 1.5 (loại Yếu), sinh viên không được tiếp tục học bằng thứ hai.",1.79,9.0,"Câu trả lời của AI truyền đạt đúng ý chính và thông tin chuẩn: khẳng định sinh viên không được tiếp tục học bằng 2 vì điểm Tích lũy của chương trình thứ nhất giảm xuống 1.5 (loại Yếu), và giải thích rằng sinh viên phải dừng học chương trình thứ hai và bị loại khỏi danh sách. Nội dung hoàn toàn khớp với chuẩn, chỉ thiếu một chút chi tiết về việc ""đạt dưới trung bình"" nhưng vẫn đủ để đáp ứng yêu cầu."
49,Cuối học kỳ em lười nên bỏ qua việc làm khảo sát đánh giá hoạt động giảng dạy của giảng viên thì có bị phạt gì không?,"Có. Việc đánh giá giảng viên được tính vào điểm rèn luyện. Nếu bạn không làm khảo sát môn nào (tỷ lệ 0%), bạn sẽ bị trừ 5 điểm rèn luyện.",Tôi không tìm thấy thông tin về việc bị phạt khi không thực hiện khảo sát đánh giá hoạt động giảng dạy của giảng viên trong các văn bản được trích dẫn.,5.39,1.0,"Câu trả lời của AI không đúng với chuẩn. Ground truth cho biết có hình phạt (bị trừ 5 điểm rèn luyện) nếu không thực hiện khảo sát, trong khi AI lại khẳng định không tìm thấy thông tin và ngụ ý không có hình phạt, hoàn toàn sai lệch."
50,Sinh viên hệ Đại học liên thông từ hệ Cao đẳng lên (Cử nhân) thì thời gian đào tạo tối đa là bao nhiêu năm?,"Thời gian hoàn thành khóa học tối đa là 4,0 năm.",Tôi không tìm thấy.,1.24,1.0,"Câu trả lời của AI không cung cấp thông tin đúng; nó chỉ nói 'Tôi không tìm thấy' trong khi đáp án chuẩn là 4,0 năm. Do đó AI không truyền đạt ý chính và hoàn toàn sai so với chuẩn."
51,Học phần Kỹ năng giao tiếp tiếng Anh 1 có bao nhiêu tín chỉ?,Học phần Kỹ năng giao tiếp tiếng Anh 1 (ENCS140026) có 4 tín chỉ.,Kỹ năng giao tiếp tiếng Anh 1 (ENCS140026) có **4 tín chỉ**.,9.29,10.0,"Câu trả lời của AI đúng hoàn toàn với chuẩn: xác định rằng học phần Kỹ năng giao tiếp tiếng Anh 1 (ENCS140026) có 4 tín chỉ, không có sai sót hay thiếu thông tin."
52,Sinh viên khóa 2023 có thể nộp chứng chỉ IELTS để miễn học phần tiếng Anh trong bao lâu?,Sinh viên chỉ được sử dụng chứng chỉ để miễn thi các học phần Kỹ năng giao tiếp tiếng Anh trong 07 học kỳ đầu tiên.,"Sinh viên khóa 2023 có thể dùng chứng chỉ IELTS để được miễn học các học phần Kỹ năng giao tiếp tiếng Anh trong **7 học kỳ đầu tiên** của chương trình. (Sau học kỳ thứ 8 trở đi, sinh viên phải đăng ký học như bình thường.)",1.11,10.0,"Câu trả lời truyền đạt đúng ý chính và thông tin chuẩn: sinh viên chỉ được miễn học phần Kỹ năng giao tiếp tiếng Anh trong 7 học kỳ đầu tiên khi dùng chứng chỉ IELTS. Ngoài ra, AI còn bổ sung thông tin rằng sau học kỳ thứ 8 sinh viên phải đăng ký học bình thường, không gây sai lệch."
53,Mức điểm TOEIC 4 kỹ năng để được miễn học phần Kỹ năng giao tiếp tiếng Anh 1 là bao nhiêu?,Mức điểm TOEIC (4 kỹ năng) để miễn Kỹ năng giao tiếp tiếng Anh 1 là từ 385 đến 785.,Mức điểm TOEIC (4 kỹ năng) để được miễn học phần **Kỹ năng giao tiếp tiếng Anh 1** là **385 – 785**. (Theo bảng quy định mức điểm A2),1.91,10.0,"Câu trả lời của AI cung cấp đúng mức điểm TOEIC (4 kỹ năng) từ 385 đến 785, hoàn toàn khớp với chuẩn. Không có sai sót hay thiếu sót nào."
54,Thời gian khảo sát lấy ý kiến sinh viên về hoạt động giảng dạy HKI 2025-2026 là khi nào?,Từ ngày 15/09/2025 đến ngày 31/12/2025.,Thời gian khảo sát là từ ngày 15 / 09 / 2025 đến ngày 31 / 12 / 2025.,1.24,10.0,"Câu trả lời của AI truyền đạt đúng ý chính và thông tin chuẩn, khớp hoàn toàn với đáp án chuẩn: thời gian khảo sát là từ ngày 15/09/2025 đến ngày 31/12/2025."
55,Sinh viên thực hiện khảo sát trên 90% số môn học sẽ được cộng bao nhiêu điểm rèn luyện?,Sinh viên sẽ được cộng 5 điểm rèn luyện (tương ứng mức 91-100%).,Sinh viên thực hiện khảo sát trên 90 % số môn học sẽ được cộng **5 điểm rèn luyện**.,1.15,10.0,Câu trả lời của AI đúng hoàn toàn với chuẩn: nói rằng sinh viên sẽ được cộng 5 điểm rèn luyện khi thực hiện khảo sát trên 90% số môn học. Không có sai sót hay thiếu chi tiết.
56,Học phí Khối ngành Công nghệ kỹ thuật - Sản xuất chế biến cho khóa 2023 là bao nhiêu?,Đối với hệ chính quy chương trình chuẩn: 18.000.000 đồng/học kỳ. Đối với hệ chính quy chương trình đào tạo chất lượng cao: 23.200.000 đồng/học kỳ.,"Học phí khối ngành **Công nghệ kỹ thuật – Sản xuất chế biến** cho khóa 2023:

- **Theo học kỳ:** 23 200 000 đồng mỗi học kỳ.  
- **Theo tín chỉ:** 1 237 000 đồng mỗi tín chỉ.  

(Thông tin này được lấy từ Quyết định quy định thu học phí năm học 2025‑2026, mục “Hệ chính quy bậc đại học chương trình đào tạo chất lượng cao”.)",8.95,5.0,"Câu trả lời chỉ đưa ra mức học phí 23.200.000 đồng/học kỳ (đúng cho chương trình chất lượng cao) nhưng không đề cập đến mức 18.000.000 đồng/học kỳ cho hệ chính quy chương trình chuẩn như trong chuẩn. Ngoài ra, thông tin về học phí theo tín chỉ không có trong chuẩn và nguồn trích dẫn không khớp với năm 2023. Vì thiếu một phần quan trọng của đáp án, điểm nằm trong khoảng 4‑7."
57,Học phí khóa 2025 có bao gồm học phần Giáo dục quốc phòng và an ninh không?,"Không, học phí khóa 2025 không bao gồm các học phần GDQP&AN và GDTC.",Học phí khóa 2025 **không** bao gồm các học phần Giáo dục quốc phòng và an ninh (GDQP&AN).,1.34,10.0,"Câu trả lời của AI đúng với chuẩn: xác nhận rằng học phí khóa 2025 không bao gồm học phần Giáo dục quốc phòng và an ninh. Nội dung đầy đủ, chính xác và không có thông tin sai lệch."
58,Đơn giá một tín chỉ cho học phần GDQP&AN khóa 2025 là bao nhiêu?,853.000 đồng/tín chỉ.,Đơn giá một tín chỉ cho học phần GDQP&AN khóa 2025 là **853.000 đồng**.,1.66,9.0,"Câu trả lời của AI truyền đạt đúng ý chính và cung cấp thông tin chuẩn là 853.000 đồng/tín chỉ, khớp hoàn toàn với đáp án chuẩn."
59,Thời gian đăng ký học phần đợt 1 cho HKI năm học 2025-2026 là khi nào?,Từ 09g00 ngày 11/8/2025 đến 07g30 ngày 18/8/2025.,Thời gian đăng ký học phần đợt 1 cho học kỳ I năm học 2025‑2026 là từ **09:00 ngày 11/08/2025 đến 07:30 ngày 18/08/2025**.,1.21,10.0,"Câu trả lời của AI truyền đạt đúng ý chính và thông tin chuẩn, khớp hoàn toàn với Ground Truth về thời gian đăng ký học phần đợt 1."
60,Sinh viên đăng ký tối đa bao nhiêu tín chỉ trong một học kỳ?,Tối đa là 28 tín chỉ.,Sinh viên có thể đăng ký tối đa **28 tín chỉ** trong một học kỳ.,1.13,10.0,"Câu trả lời của AI hoàn toàn khớp với chuẩn: nêu rõ sinh viên có thể đăng ký tối đa 28 tín chỉ trong một học kỳ, không có sai sót hay thiếu sót nào."
61,Sinh viên năm cuối được ưu tiên đăng ký học phần như thế nào?,Được ưu tiên đăng ký trước từ 1 đến 2 ngày so với các sinh viên khác.,"Sinh viên năm cuối được **ưu tiên đăng ký học phần trước các sinh viên khác**. Trong thời gian ưu tiên, họ được phép đăng ký các học phần thuộc chương trình đào tạo trước ngày đăng ký chung, nhưng **không được đăng ký các học phần tự chọn hoặc các học phần ngoài chương trình đào tạo**.",1.35,5.0,"Câu trả lời của AI nêu rằng sinh viên năm cuối được ưu tiên đăng ký trước các sinh viên khác, nhưng không đề cập cụ thể thời gian ưu tiên là 1‑2 ngày như trong chuẩn. Thêm vào đó, AI đưa ra các thông tin phụ (chỉ đăng ký học phần thuộc chương trình đào tạo, không được đăng ký học phần tự chọn) không có trong chuẩn và có thể không chính xác. Vì vậy câu trả lời chỉ đúng một phần và thiếu chi tiết quan trọng."
62,Địa chỉ website để đăng ký môn học là gì?,https://dkmh.hcmute.edu.vn,Địa chỉ website để đăng ký môn học là: **https://online.hcmute.edu.vn**.,1.52,1.0,"Câu trả lời của AI không khớp với đáp án chuẩn. Địa chỉ website đúng là https://dkmh.hcmute.edu.vn, trong khi AI đưa ra https://online.hcmute.edu.vn, hoàn toàn sai và không liên quan."
63,Điều kiện để sinh viên được xét tốt nghiệp về điểm trung bình tích lũy là bao nhiêu?,Điểm trung bình chung tích lũy toàn khóa học đạt từ 5.00 trở lên (với khóa 2020 trở về trước) hoặc từ mức Trung bình trở lên (với khóa 2021 trở đi).,Điểm trung bình tích lũy (điểm trung bình chung tích lũy) của toàn khóa học phải đạt **từ 5.00 trở lên** để sinh viên được xét tốt nghiệp.,1.05,5.0,"Câu trả lời của AI chỉ nêu điều kiện điểm trung bình tích lũy từ 5.00 trở lên, đúng với khóa 2020 trở về trước, nhưng bỏ qua thông tin quan trọng về điều kiện mới (điểm trung bình trở lên) cho các khóa 2021 trở đi. Do thiếu chi tiết quan trọng, đáp án không đầy đủ nên được chấm ở mức 4‑7."
64,Lệ phí làm bằng tốt nghiệp cho sinh viên Đại học và ngành Sư phạm Tiếng Anh là bao nhiêu?,120.000 VNĐ.,"Lệ phí làm bằng tốt nghiệp cho sinh viên Đại học, ngành Sư phạm Tiếng Anh là **120.000 đồng**.",1.02,10.0,"Câu trả lời của AI cung cấp đúng con số lệ phí là 120.000 VNĐ, hoàn toàn khớp với đáp án chuẩn và không có thông tin sai lệch hay thiếu sót."
65,Thời gian nộp đơn xin điểm I (online) đợt 1 học kỳ 1/2025-2026 là khi nào?,Từ ngày 20/10/2025 đến ngày 31/10/2025.,Thời gian nộp đơn xin điểm I (online) đợt 1 học kỳ 1/2025‑2026 là từ ngày 20 đến 31 tháng 10 năm 2025.,1.05,10.0,"Câu trả lời của AI truyền đạt đúng ý chính và thông tin chuẩn, nêu rõ thời gian nộp đơn là từ ngày 20/10/2025 đến ngày 31/10/2025, không thiếu chi tiết hay sai sót."
66,Sinh viên bị ốm trong đợt thi cần làm gì để xin điểm I?,Làm đơn xin nhận điểm I các học phần không tham gia thi kèm giấy tờ của cơ quan y tế.,"Sinh viên nghỉ ốm trong đợt thi phải:

1. **Làm đơn xin nhận điểm I** cho các học phần không tham gia thi được do ốm.  
2. **Kèm theo giấy tờ y tế** (giấy chứng nhận của cơ quan y tế hoặc bệnh viện).  
3. **Nộp đơn**:  
   - Đầu tiên nộp tại văn phòng Khoa; sau khi Khoa xác nhận, chuyển lên Phòng Đào tạo (hoặc Phòng Hợp tác & Phát triển Đào tạo).  
   - Hoặc nộp **online** trong thời gian quy định (20‑31/10/2025) theo các bước: đăng nhập, nhập lý do, chọn học phần, tải lên giấy tờ, lưu và in đơn để lưu trữ.  

Sau khi hoàn tất, sinh viên sẽ được cấp điểm I và có thể trả điểm I trong tối đa hai học kỳ tiếp theo.",2.27,9.0,"Câu trả lời của AI truyền đạt đúng ý chính của chuẩn: cần làm đơn xin nhận điểm I và kèm giấy tờ y tế. Ngoài ra, AI còn bổ sung chi tiết về quy trình nộp đơn (nơi nộp, hình thức online, thời gian) mà không gây sai lệch, giúp người đọc hiểu rõ hơn. Vì đáp ứng đầy đủ và chi tiết, nên được chấm 9 điểm."
67,Học phần thay thế được đăng ký trong trường hợp nào?,"Khi môn học trong chương trình đào tạo không còn mở lớp và môn học thay thế đã được Khoa tư vấn và đồng ý; hoặc đã đăng ký môn học cùng tên môn, số tín chỉ nhưng khác mã môn học và có nội dung tương đương được Khoa đồng ý.","**Học phần thay thế chỉ được đăng ký khi:**

1. **Môn học gốc không còn mở lớp** và **môn học thay thế đã được Khoa (hoặc Bộ môn) tư vấn, xem xét và đồng ý**;  
   **hoặc**  
2. **Có môn học cùng tên, cùng số tín chỉ** nhưng **mã môn khác** và **nội dung tương đương**, cũng được Khoa đồng ý.

Trong cả hai trường hợp, sinh viên phải **nộp đơn xin thay thế học phần** (theo mẫu có trên website Phòng Đào tạo) **trong thời gian đăng ký học phần**; sau khi Bộ môn, đơn vị quản lý học phần và Phòng Đào tạo xem xét, đơn sẽ được chấp nhận và học phần thay thế được ghi nhận.",1.84,10.0,"Câu trả lời của AI bao gồm đầy đủ cả hai điều kiện trong chuẩn: (1) môn học gốc không còn mở lớp và môn thay thế đã được Khoa tư vấn, xem xét và đồng ý; (2) có môn cùng tên, cùng số tín chỉ, mã môn khác và nội dung tương đương cũng được Khoa đồng ý. Ngoài ra, AI còn bổ sung thông tin về việc nộp đơn xin thay thế, không làm sai lệch nội dung chính. Vì đáp ứng chính xác và đầy đủ yêu cầu, nên cho điểm tối đa."
68,Thời gian nhận đơn xin thay thế môn học đợt 1 của HKI 2025-2026?,Từ ngày 11/08/2025 đến hết ngày 23/08/2025.,Thời gian nhận đơn xin thay thế môn học đợt 1 của học kỳ I 2025‑2026 là **từ ngày 11/08/2025 đến hết ngày 23/08/2025**.,8.53,10.0,"Câu trả lời của AI truyền đạt đúng và đầy đủ thông tin chuẩn: thời gian nhận đơn từ ngày 11/08/2025 đến hết ngày 23/08/2025, không có sai sót hay thiếu chi tiết."
